position,timing_window,n,adjusted_points_zscore,ci_low,ci_high,top_6_rate
QB,1-3,3832,-0.051200839449490526,-0.08047828866428475,-0.021991413010560776,0.481080375782881
QB,4-5,4257,-0.017680139764300856,-0.04375486418220758,0.006955845917527032,0.49389241249706367
QB,6-7,3494,0.033057877626641266,0.00256759861392597,0.0623755649664131,0.5085861476817402
QB,8-9,2873,-0.023810392460648797,-0.05717532144449529,0.008293371652164719,0.491472328576401
QB,10-11,1757,0.07028522389617832,0.023360421622685153,0.11632182743891072,0.5287421741605008
QB,12+,830,0.11660108240619177,0.056731529192744316,0.17997372606474615,0.5457831325301205
TE,1-3,3350,0.021309070964424887,-0.011899150677568075,0.05198018990660768,0.5
TE,4-5,3842,-0.05539780259270244,-0.08353208523007966,-0.027392257556343506,0.47969807391983343
TE,6-7,3878,-0.025423284250493783,-0.053393635416692474,0.0038446922216263347,0.500515729757607
TE,8-9,3173,0.028500299776581972,-0.001266360239529103,0.06017757554688417,0.5132366845256855
TE,10-11,1692,0.07842290931206414,0.03617895143487756,0.12530430316918692,0.5310283687943262
TE,12+,1096,0.024263439686188184,-0.034018191665766896,0.08164744982771346,0.48722627737226276
