rb_count_r6,n,leagues,mean_points_zscore,mean_points_per_week_above_league,top_6_rate
0,254,224,-0.19623386150000838,-2.266633461682674,0.4330708661417323
1,2229,1064,-0.06717680480119784,-0.9671078971499563,0.4719605204127411
2,8666,1370,-0.004273079789407528,0.007020635674426493,0.49953842603277177
3,4673,1340,0.05261581224290163,0.6203097258508664,0.5167986304301305
4,595,473,-0.01587319092386345,-0.3128554421768699,0.5008403361344538
5,33,33,0.03359222984221201,-0.8632922632922653,0.6363636363636364
6,2,2,-0.4633387091478919,-6.751071428571429,0.5
