left,right,outcome,difference,ci_low,ci_high
WR,RB,points_zscore,-0.02642847608931026,-0.06365241296833049,0.011520526627608565
WR,RB,top_6_points,-0.008247406533968937,-0.026717726078745653,0.011563081471469991
