left,right,outcome,difference,ci_low,ci_high
WR-heavy (1),Balanced (2),points_zscore,0.008721439573677436,-0.12323298944432941,0.12758602010226724
WR-heavy (1),Balanced (2),top_6_points,-0.023327369342706183,-0.08959591239847405,0.03637287830473764
WR-heavy (1),RB-heavy (3+),points_zscore,-0.017318905385460992,-0.16300376774697448,0.12301613250331644
WR-heavy (1),RB-heavy (3+),top_6_points,-0.02846134864825134,-0.0963065920820634,0.044362639833779735
Balanced (2),RB-heavy (3+),points_zscore,-0.02604034495913843,-0.12028506188426814,0.07079296704904521
Balanced (2),RB-heavy (3+),top_6_points,-0.0051339793055451555,-0.0548822795699987,0.048240976686878156
