strategy_r6,full_n,full_mean_z,all_linked_rate,all_available_rate,available_n,available_mean_z,available_top6
Balanced (2),8666,-0.004273079789407528,0.7357489037618279,0.14551119316870528,1261,0.3741296536968525,0.6463124504361618
RB-heavy (3+),5303,0.0446183307897186,0.7271355836319064,0.11521780124457855,611,0.45927520082605766,0.6710310965630114
WR-heavy (1),2229,-0.06717680480119784,0.737101839389861,0.1386271870794078,309,0.31983903647365963,0.6019417475728155
Zero RB (0),254,-0.19623386150000838,0.7125984251968503,0.0984251968503937,25,-0.15713945009635577,0.4
