level,outcome,n,leagues,estimate,ci_low,ci_high,reference,difference_vs_reference,difference_ci_low,difference_ci_high
WR,points_zscore,5232,1336,0.10553227911887067,0.08451689404524698,0.1288181022047253,WR,0.0,0.0,0.0
WR,top_6_points,5232,1336,0.5409404129226811,0.5295013452157884,0.5528202235264371,WR,0.0,0.0,0.0
RB,points_zscore,6095,1370,0.13196075520818093,0.11151406571655859,0.15079240432940214,WR,0.02642847608931026,-0.01152052662760857,0.06365241296833049
RB,top_6_points,6095,1370,0.5491878194566501,0.5389786957617816,0.5586453131155992,WR,0.008247406533968937,-0.011563081471469993,0.02671772607874565
