level,outcome,n,leagues,estimate,ci_low,ci_high,reference,difference_vs_reference,difference_ci_low,difference_ci_high
WR-heavy (1),points_zscore,309,279,0.39048179156292123,0.2821217215010495,0.49554584320061085,Balanced (2),0.008721439573677436,-0.12323298944432941,0.12758602010226724
WR-heavy (1),top_6_points,309,279,0.6254902811713736,0.5676481609805735,0.6789954957856392,Balanced (2),-0.023327369342706183,-0.08959591239847405,0.03637287830473764
Balanced (2),points_zscore,1261,871,0.3817603519892438,0.33174741395241875,0.43465771110037515,Balanced (2),0.0,0.0,0.0
Balanced (2),top_6_points,1261,871,0.6488176505140798,0.6239815006233331,0.6746687048247442,Balanced (2),0.0,0.0,0.0
RB-heavy (3+),points_zscore,611,496,0.4078006969483822,0.32440633461165924,0.48230845667545674,Balanced (2),0.02604034495913843,-0.07079296704904525,0.12028506188426813
RB-heavy (3+),top_6_points,611,496,0.653951629819625,0.6115565382962918,0.6975024098741575,Balanced (2),0.0051339793055451555,-0.04824097668687818,0.0548822795699987
