scoring_type,strategy_r6,n,mean_points_zscore,top_6_rate
half_ppr,Balanced (2),2477,-0.026135392022064132,0.4836495761001211
half_ppr,RB-heavy (3+),1918,0.06384392582609129,0.5250260688216892
half_ppr,WR-heavy (1),464,-0.0934858144603288,0.47844827586206895
half_ppr,Zero RB (0),49,-0.29260950584077455,0.5510204081632653
ppr,Balanced (2),6189,0.004476790528946069,0.5058975601874293
ppr,RB-heavy (3+),3385,0.03372477354311216,0.5104874446085672
ppr,WR-heavy (1),1765,-0.0602604419219702,0.4702549575070821
ppr,Zero RB (0),205,-0.17319773187709353,0.40487804878048783
