level,outcome,n,leagues,estimate,ci_low,ci_high,reference,difference_vs_reference,difference_ci_low,difference_ci_high
WR,points_zscore,7236,1361,0.019986170206322682,0.0016327688488676103,0.0390625461733414,WR,0.0,0.0,0.0
WR,points_per_week_above_league,7236,1361,0.18014463037951098,-0.04428113020409129,0.40352030632224767,WR,0.0,0.0,0.0
WR,top_6_points,7236,1361,0.5117589692040286,0.5025799429368808,0.520379517756057,WR,0.0,0.0,0.0
RB,points_zscore,8545,1371,-0.0039735153734361305,-0.019772801791572904,0.011831718759411775,WR,-0.023959685579758812,-0.05887169748194687,0.009336092631763495
RB,points_per_week_above_league,8545,1371,-0.0006058244336167946,-0.190480692418106,0.18639144495319568,WR,-0.18075045481312776,-0.5973974248328847,0.21754422213703928
RB,top_6_points,8545,1371,0.49495753058390846,0.4873181245909886,0.5028666340443992,WR,-0.01680143862012018,-0.03259979654100669,-0.00015591484666902205
