season,rb_minus_wr
2018,0.795112989573743
2019,0.0995704707607333
2020,0.2496858927855103
2021,-0.2408011595049519
2022,-0.22161115306513207
2023,-0.09836752754942218
2024,-0.21347810684828677
2025,0.305890549269609
